 Federal-gov; 10th; Divorced; United-States; White;41-80;4****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;****; Wife; Female; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;2****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;2****; Wife; Female; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;3****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;3****; Wife; Female; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;4****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;5****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;6****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;8****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;0-40;9****; Wife; Female; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;4****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;7****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;7****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;9****; Husband; Male; <=50K
 Federal-gov; Assoc-acdm; Married-civ-spouse; United-States; White;41-80;9****; Husband; Male; >50K
 Federal-gov; Assoc-acdm; Never-married; Columbia; White;41-80;3****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-acdm; Never-married; Poland; White;0-40;9****; Own-child; Female; <=50K
 Federal-gov; Assoc-acdm; Never-married; United-States; Black;0-40;1****; Unmarried; Female; >50K
 Federal-gov; Assoc-acdm; Never-married; United-States; Black;0-40;8****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;0-40;****; Not-in-family; Male; >50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;0-40;3****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;0-40;4****; Not-in-family; Male; >50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;0-40;4****; Own-child; Male; <=50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;0-40;5****; Unmarried; Female; <=50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;0-40;6****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;0-40;9****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;41-80;4****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-acdm; Never-married; United-States; White;41-80;7****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-acdm; Separated; United-States; White;41-80;5****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-voc; Divorced; United-States; Amer-Indian-Eskimo;41-80;5****; Not-in-family; Female; >50K
 Federal-gov; Assoc-voc; Divorced; United-States; Amer-Indian-Eskimo;41-80;5****; Unmarried; Female; <=50K
 Federal-gov; Assoc-voc; Divorced; United-States; Black;0-40;8****; Unmarried; Female; <=50K
 Federal-gov; Assoc-voc; Divorced; United-States; Black;41-80;****; Unmarried; Female; <=50K
 Federal-gov; Assoc-voc; Divorced; United-States; Black;41-80;2****; Unmarried; Female; <=50K
 Federal-gov; Assoc-voc; Divorced; United-States; Black;41-80;9****; Own-child; Female; >50K
 Federal-gov; Assoc-voc; Divorced; United-States; White;41-80;****; Unmarried; Male; <=50K
 Federal-gov; Assoc-voc; Divorced; United-States; White;41-80;6****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-voc; Divorced; United-States; White;41-80;8****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-voc; Divorced; United-States; White;41-80;9****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; Asian-Pac-Islander;41-80;5****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; Black;41-80;4****; Husband; Male; >50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;0-40;****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;0-40;****; Husband; Male; >50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;0-40;3****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;0-40;4****; Husband; Male; >50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;0-40;6****; Husband; Male; >50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;0-40;6****; Husband; Male; >50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;0-40;8****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;4****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;4****; Husband; Male; >50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;6****; Wife; Female; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; <=50K
 Federal-gov; Assoc-voc; Married-civ-spouse; United-States; White;41-80;8****; Wife; Female; >50K
 Federal-gov; Assoc-voc; Never-married; Japan; White;0-40;1****; Own-child; Male; <=50K
 Federal-gov; Assoc-voc; Never-married; United-States; Asian-Pac-Islander;0-40;6****; Other-relative; Male; <=50K
 Federal-gov; Assoc-voc; Never-married; United-States; Black;0-40;1****; Own-child; Male; <=50K
 Federal-gov; Assoc-voc; Never-married; United-States; White;0-40;4****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-voc; Never-married; United-States; White;0-40;9****; Own-child; Male; <=50K
 Federal-gov; Assoc-voc; Never-married; United-States; White;41-80;8****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-voc; Never-married; United-States; White;41-80;9****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-voc; Separated; United-States; Black;0-40;5****; Not-in-family; Male; <=50K
 Federal-gov; Assoc-voc; Separated; United-States; Other;41-80;4****; Not-in-family; Female; <=50K
 Federal-gov; Assoc-voc; Widowed; United-States; Black;41-80;****; Unmarried; Female; >50K
 Federal-gov; Bachelors; Divorced; United-States; Amer-Indian-Eskimo;41-80;8****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; Black;0-40;5****; Unmarried; Female; <=50K
 Federal-gov; Bachelors; Divorced; United-States; Black;0-40;7****; Unmarried; Female; <=50K
 Federal-gov; Bachelors; Divorced; United-States; Black;41-80;1****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Divorced; United-States; Black;41-80;1****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Divorced; United-States; Black;41-80;3****; Unmarried; Female; <=50K
 Federal-gov; Bachelors; Divorced; United-States; Black;41-80;3****; Unmarried; Female; >50K
 Federal-gov; Bachelors; Divorced; United-States; White;0-40;2****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;0-40;2****; Other-relative; Female; >50K
 Federal-gov; Bachelors; Divorced; United-States; White;0-40;9****; Unmarried; Female; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;****; Unmarried; Female; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;1****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;1****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;2****; Unmarried; Female; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;3****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;3****; Unmarried; Female; >50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;4****; Not-in-family; Male; >50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;5****; Not-in-family; Male; >50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;6****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;6****; Own-child; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;6****; Unmarried; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;7****; Not-in-family; Male; >50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;7****; Unmarried; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;8****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;8****; Not-in-family; Male; >50K
 Federal-gov; Bachelors; Divorced; United-States; White;41-80;8****; Unmarried; Male; <=50K
 Federal-gov; Bachelors; Married-AF-spouse; United-States; White;0-40;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; Germany; White;41-80;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; Iran; Asian-Pac-Islander;0-40;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; Japan; White;0-40;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; Philippines; Asian-Pac-Islander;0-40;6****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; Philippines; Asian-Pac-Islander;0-40;9****; Wife; Female; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; Philippines; Asian-Pac-Islander;41-80;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; Philippines; Asian-Pac-Islander;41-80;9****; Wife; Female; >50K
 Federal-gov; Bachelors; Married-civ-spouse; Philippines; White;41-80;3****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; Puerto-Rico; White;41-80;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Amer-Indian-Eskimo;41-80;8****; Wife; Female; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Asian-Pac-Islander;0-40;2****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Asian-Pac-Islander;0-40;2****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Asian-Pac-Islander;0-40;4****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Asian-Pac-Islander;41-80;3****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Asian-Pac-Islander;41-80;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Black;41-80;2****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Black;41-80;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Black;41-80;4****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Black;41-80;7****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Black;41-80;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; Black;41-80;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;1****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;1****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;1****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;1****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;2****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;2****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;3****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;4****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;5****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;6****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;7****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;7****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;7****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;7****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;8****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;0-40;9****; Wife; Female; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;****; Wife; Female; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;1****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;2****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;2****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;2****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;2****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;2****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;2****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;3****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;3****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;4****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;4****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;4****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;4****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;4****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;5****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;5****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;5****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;5****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;6****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;7****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;7****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;7****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;7****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;7****; Wife; Female; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;8****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;9****; Husband; Male; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; United-States; White;41-80;9****; Wife; Female; <=50K
 Federal-gov; Bachelors; Married-civ-spouse; Vietnam; Asian-Pac-Islander;0-40;5****; Husband; Male; >50K
 Federal-gov; Bachelors; Married-spouse-absent; United-States; Asian-Pac-Islander;41-80;4****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Married-spouse-absent; United-States; White;41-80;1****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Married-spouse-absent; United-States; White;41-80;2****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Married-spouse-absent; United-States; White;41-80;8****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Never-married; Cambodia; Asian-Pac-Islander;0-40;8****; Unmarried; Male; <=50K
 Federal-gov; Bachelors; Never-married; Cuba; White;0-40;3****; Own-child; Female; >50K
 Federal-gov; Bachelors; Never-married; Puerto-Rico; White;41-80;6****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Amer-Indian-Eskimo;41-80;2****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Asian-Pac-Islander;0-40;1****; Other-relative; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Asian-Pac-Islander;0-40;5****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;0-40;3****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;0-40;4****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;0-40;6****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;0-40;7****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;0-40;9****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;0-40;9****; Own-child; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;41-80;7****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;41-80;8****; Unmarried; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Black;41-80;9****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; Other;0-40;2****; Not-in-family; Male; >50K
 Federal-gov; Bachelors; Never-married; United-States; Other;0-40;4****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; White;0-40;****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; White;0-40;****; Not-in-family; Female; <=50K
 Federal-gov; Bachelors; Never-married; United-States; White;0-40;****; Not-in-family; Female; >50K
 Federal-gov; Bachelors; Never-married; United-States; White;0-40;****; Other-relative; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; White;0-40;1****; Not-in-family; Female; >50K
 Federal-gov; Bachelors; Never-married; United-States; White;0-40;1****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; White;0-40;1****; Not-in-family; Male; <=50K
 Federal-gov; Bachelors; Never-married; United-States; White;0-40;1****; Not-in-family; Male; <=50K
