-313129425,  State-gov, Bachelors, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Male, <=50K
654599391,  Private, Doctorate, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, >50K
862467692,  Private, HS-grad, Separated, United-States, Black, 40<..<80, 1****, Unmarried, Female, <=50K
-1241823737,  Federal-gov, 9th, Married-civ-spouse, United-States, Black, 0<..<40, 1****, Husband, Male, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 40<..<80, 7****, Husband, Male, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 40<..<80, 6****, Unmarried, Female, <=50K
1091705218,  Local-gov, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 1****, Husband, Male, >50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 2****, Own-child, Male, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 0<..<40, 7****, Not-in-family, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, <=50K
963517814,  Local-gov, Assoc-acdm, Never-married, United-States, White, 0<..<40, 8****, Not-in-family, Male, <=50K
387629662,  Private, Some-college, Never-married, United-States, Black, 0<..<40, ****, Own-child, Male, <=50K
-845492304,  Private, Bachelors, Divorced, United-States, White, 40<..<80, 6****, Own-child, Male, <=50K
-1312157872,  Federal-gov, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 8****, Own-child, Male, <=50K
-50644219,  State-gov, Some-college, Married-civ-spouse, United-States, Black, 0<..<40, 6****, Husband, Male, <=50K
-1947690835,  Private, 11th, Never-married, Puerto-Rico, White, 40<..<80, 5****, Unmarried, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 1****, Own-child, Male, <=50K
-281077878,  Private, HS-grad, Married-AF-spouse, United-States, White, 0<..<40, 6****, Wife, Female, <=50K
1371072557,  Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, <=50K
1318539413,  Private, 9th, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, >50K
-864173078,  Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, ****, Husband, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, <=50K
-1222531251,  Private, HS-grad, Separated, United-States, White, 40<..<80, 4****, Unmarried, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 5****, Not-in-family, Male, <=50K
1796942816,  Federal-gov, Bachelors, Married-civ-spouse, United-States, Black, 40<..<80, 7****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 1****, Husband, Male, <=50K
-1102350874,  Private, Masters, Divorced, United-States, White, 40<..<80, 4****, Unmarried, Female, >50K
96347209,  State-gov, Assoc-voc, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
-1644707652,  Private, Assoc-voc, Never-married, United-States, White, 0<..<40, 7****, Not-in-family, Male, <=50K
1464097884,  Private, Some-college, Married-civ-spouse, United-States, Other, 0<..<40, 5****, Wife, Female, <=50K
1378885473,  Private, Prof-school, Married-civ-spouse, Honduras, White, 40<..<80, 6****, Wife, Female, <=50K
484288916,  Federal-gov, Bachelors, Divorced, United-States, White, 40<..<80, 1****, Not-in-family, Male, <=50K
-111860154,  Self-emp-inc, HS-grad, Divorced, United-States, White, 40<..<80, 1****, Not-in-family, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, ****, Husband, Male, >50K
373093646,  Private, 5th-6th, Married-civ-spouse, Mexico, White, 40<..<80, 1****, Husband, Male, >50K
-1137777020,  Private, Assoc-voc, Married-civ-spouse, Puerto-Rico, White, 0<..<40, ****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 6****, Husband, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 5****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
654599391,  Private, Doctorate, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, <=50K
894048737,  Private, Some-college, Divorced, United-States, White, 0<..<40, 5****, Not-in-family, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
894048737,  Private, Some-college, Divorced, United-States, White, 0<..<40, 9****, Not-in-family, Female, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 6****, Wife, Female, >50K
655741241,  Self-emp-inc, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 6****, Own-child, Male, <=50K
1752179203,  Private, Bachelors, Separated, United-States, Black, 0<..<40, 6****, Own-child, Female, <=50K
-864173078,  Self-emp-not-inc, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 5****, Husband, Male, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Male, >50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 6****, Other-relative, Male, <=50K
-1610341567,  Private, HS-grad, Never-married, Mexico, White, 0<..<40, 6****, Own-child, Male, <=50K
-1385114013,  Private, Assoc-acdm, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
1198548684,  Private, 11th, Never-married, United-States, White, 0<..<40, 8****, Own-child, Female, >50K
-613259303,  Local-gov, 7th-8th, Married-civ-spouse, United-States, White, 0<..<40, 5****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, ****, Not-in-family, Male, <=50K
205094014,  Private, Bachelors, Married-civ-spouse, Cuba, White, 40<..<80, 8****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 5****, Wife, Female, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, ****, Husband, Male, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 40<..<80, 6****, Not-in-family, Female, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 40<..<80, 2****, Own-child, Female, <=50K
-518722955,  Local-gov, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
1906696343,  Private, Masters, Married-civ-spouse, United-States, White, 0<..<40, 4****, Husband, Male, <=50K
-627164221,  Private, 9th, Never-married, United-States, White, 0<..<40, 2****, Not-in-family, Male, <=50K
802983790,  Federal-gov, Doctorate, Never-married, United-States, White, 40<..<80, 3****, Not-in-family, Female, <=50K
-745176806,  Private, Assoc-voc, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, >50K
894048737,  Private, Some-college, Divorced, United-States, White, 0<..<40, 6****, Unmarried, Female, <=50K
-69996130,  Private, Some-college, Divorced, United-States, Black, 0<..<40, 5****, Unmarried, Female, >50K
1091705218,  Local-gov, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 3****, Husband, Male, <=50K
-1832883643,  Local-gov, Some-college, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Male, <=50K
-1415089771,  Self-emp-not-inc, Doctorate, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, >50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, <=50K
-2028215954,  Private, Assoc-acdm, Divorced, England, White, 40<..<80, 1****, Unmarried, Female, <=50K
1498909234,  Federal-gov, HS-grad, Never-married, United-States, Black, 0<..<40, ****, Own-child, Male, <=50K
1906696343,  Private, Masters, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, >50K
676693442,  Self-emp-not-inc, Masters, Never-married, United-States, White, 40<..<80, 3****, Not-in-family, Female, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 9****, Own-child, Female, >50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Male, >50K
946514547,  Self-emp-inc, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 3****, Husband, Male, <=50K
1198548684,  Private, 11th, Never-married, United-States, White, 0<..<40, 6****, Own-child, Male, <=50K
107956216,  Local-gov, HS-grad, Never-married, United-States, White, 0<..<40, 5****, Not-in-family, Female, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 6****, Husband, Male, >50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, ****, Other-relative, Male, <=50K
761343843,  Private, Prof-school, Married-civ-spouse, United-States, White, 0<..<40, ****, Husband, Male, <=50K
865571022,  Self-emp-not-inc, HS-grad, Married-civ-spouse, Canada, White, 40<..<80, 5****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 2****, Wife, Female, >50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 4****, Own-child, Female, <=50K
1318539413,  Private, 9th, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, <=50K
655741241,  Self-emp-inc, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
-541305537,  Local-gov, Assoc-voc, Married-civ-spouse, United-States, Black, 40<..<80, 3****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 4****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Male, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 2****, Own-child, Female, >50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
1013632945,  Private, Bachelors, Never-married, Germany, Black, 0<..<40, 7****, Own-child, Male, <=50K
101443574,  State-gov, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 3****, Husband, Male, <=50K
387629662,  Private, Some-college, Never-married, United-States, Black, 0<..<40, 9****, Own-child, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 1****, Wife, Female, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 2****, Own-child, Female, <=50K
-1385114013,  Private, Assoc-acdm, Married-civ-spouse, United-States, White, 0<..<40, 6****, Husband, Male, <=50K
894048737,  Private, Some-college, Divorced, United-States, White, 0<..<40, 7****, Not-in-family, Male, <=50K
116555606,  Private, Assoc-acdm, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Female, <=50K
-1050337580,  Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, >50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 1****, Husband, Male, <=50K
1968888120,  Private, Assoc-acdm, Divorced, United-States, Black, 40<..<80, 9****, Not-in-family, Female, >50K
1027956698,  Federal-gov, Masters, Married-civ-spouse, Iran, White, 0<..<40, 5****, Husband, Male, <=50K
-1050337580,  Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, ****, Husband, Male, >50K
-745176806,  Private, Assoc-voc, Married-civ-spouse, United-States, White, 0<..<40, 2****, Wife, Female, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 3****, Own-child, Male, <=50K
-1801388453,  Private, Some-college, Married-civ-spouse, United-States, Asian-Pac-Islander, 40<..<80, ****, Husband, Male, <=50K
946514547,  Self-emp-inc, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, ****, Own-child, Female, <=50K
-150312296,  Private, Some-college, Never-married, Mexico, White, 0<..<40, 9****, Own-child, Male, <=50K
-1644707652,  Private, Assoc-voc, Never-married, United-States, White, 40<..<80, 5****, Not-in-family, Female, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 40<..<80, 3****, Other-relative, Male, >50K
1835191412,  Private, HS-grad, Never-married, United-States, Black, 0<..<40, 8****, Unmarried, Female, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 5****, Husband, Male, <=50K
-1889145070,  Private, HS-grad, Widowed, United-States, White, 0<..<40, 3****, Unmarried, Female, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, >50K
1562483731,  Local-gov, Some-college, Divorced, Mexico, White, 40<..<80, 8****, Unmarried, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 5****, Not-in-family, Female, <=50K
1107778568,  Private, Bachelors, Never-married, Philippines, Asian-Pac-Islander, 0<..<40, 3****, Other-relative, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 4****, Own-child, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 4****, Not-in-family, Male, <=50K
-1289635808,  Self-emp-not-inc, Some-college, Separated, United-States, Black, 40<..<80, 1****, Unmarried, Male, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 0<..<40, 9****, Not-in-family, Male, <=50K
1752179203,  Private, Bachelors, Separated, United-States, Black, 40<..<80, 5****, Other-relative, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 4****, Unmarried, Female, <=50K
-1397175844,  Self-emp-inc, Masters, Divorced, United-States, Asian-Pac-Islander, 40<..<80, 4****, Unmarried, Female, <=50K
-1617295186,  Private, HS-grad, Never-married, England, Asian-Pac-Islander, 0<..<40, 2****, Not-in-family, Female, <=50K
-200729826,  Self-emp-not-inc, Masters, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
158695917,  Private, Some-college, Divorced, Mexico, White, 0<..<40, 4****, Unmarried, Female, <=50K
-1851466157,  Federal-gov, Assoc-acdm, Never-married, United-States, White, 0<..<40, 4****, Not-in-family, Male, >50K
-1974939011,  State-gov, Masters, Widowed, United-States, White, 40<..<80, 9****, Unmarried, Male, <=50K
1198548684,  Private, 11th, Never-married, United-States, White, 0<..<40, 6****, Own-child, Male, <=50K
-744335979,  Local-gov, Assoc-voc, Widowed, United-States, White, 40<..<80, 5****, Not-in-family, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, ****, Not-in-family, Male, <=50K
1026713003,  State-gov, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 3****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 1****, Not-in-family, Male, <=50K
101443574,  State-gov, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
603662050,  Private, HS-grad, Married-spouse-absent, United-States, White, 0<..<40, 2****, Unmarried, Female, <=50K
1835191412,  Private, HS-grad, Never-married, United-States, Black, 0<..<40, 5****, Own-child, Male, >50K
1835191412,  Private, HS-grad, Never-married, United-States, Black, 0<..<40, 1****, Not-in-family, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 2****, Own-child, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 0<..<40, 3****, Husband, Male, <=50K
2117493838,  Local-gov, Some-college, Married-civ-spouse, United-States, Black, 40<..<80, 5****, Husband, Male, <=50K
894048737,  Private, Some-college, Divorced, United-States, White, 40<..<80, 8****, Not-in-family, Female, <=50K
387629662,  Private, Some-college, Never-married, United-States, Black, 0<..<40, 3****, Not-in-family, Male, <=50K
-261462783,  Private, 7th-8th, Married-civ-spouse, Mexico, White, 40<..<80, 5****, Husband, Male, <=50K
-1312157872,  Federal-gov, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, >50K
294374391,  Private, HS-grad, Married-civ-spouse, United-States, Black, 0<..<40, 6****, Husband, Male, <=50K
100019530,  Self-emp-not-inc, Bachelors, Divorced, United-States, White, 40<..<80, ****, Not-in-family, Female, >50K
1906696343,  Private, Masters, Married-civ-spouse, United-States, White, 0<..<40, 8****, Wife, Female, <=50K
217490037,  State-gov, Doctorate, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
-69996130,  Private, Some-college, Divorced, United-States, Black, 0<..<40, 8****, Not-in-family, Female, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 2****, Husband, Male, <=50K
1873393510,  Local-gov, Bachelors, Married-civ-spouse, United-States, Black, 40<..<80, 5****, Husband, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, >50K
-1681241384,  Federal-gov, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
373093646,  Private, 5th-6th, Married-civ-spouse, Mexico, White, 0<..<40, 8****, Other-relative, Male, <=50K
894048737,  Private, Some-college, Divorced, United-States, White, 0<..<40, 1****, Not-in-family, Male, >50K
-1890403669,  Federal-gov, Masters, Never-married, United-States, White, 40<..<80, 7****, Not-in-family, Female, >50K
1906696343,  Private, Masters, Married-civ-spouse, United-States, White, 0<..<40, 6****, Other-relative, Male, <=50K
98641614,  Self-emp-not-inc, HS-grad, Never-married, United-States, White, 0<..<40, 5****, Not-in-family, Male, <=50K
208939787,  Private, Masters, Never-married, United-States, White, 0<..<40, 2****, Not-in-family, Female, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
-1832883643,  Local-gov, Some-college, Never-married, United-States, White, 40<..<80, 5****, Not-in-family, Female, >50K
-1952768768,  State-gov, HS-grad, Divorced, United-States, White, 0<..<40, 9****, Unmarried, Female, <=50K
1198548684,  Private, 11th, Never-married, United-States, White, 0<..<40, 6****, Own-child, Female, <=50K
-115055906,  Private, Bachelors, Married-civ-spouse, United-States, Black, 0<..<40, 3****, Husband, Male, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 0<..<40, ****, Not-in-family, Male, <=50K
946514547,  Self-emp-inc, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 6****, Wife, Female, <=50K
1198548684,  Private, 11th, Never-married, United-States, White, 0<..<40, 9****, Own-child, Female, <=50K
2058844776,  Local-gov, HS-grad, Married-civ-spouse, United-States, Black, 40<..<80, 1****, Husband, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 4****, Husband, Male, >50K
-469703759,  Private, Some-college, Never-married, United-States, Amer-Indian-Eskimo, 0<..<40, 6****, Not-in-family, Female, >50K
1576600017,  Private, HS-grad, Married-civ-spouse, United-States, Asian-Pac-Islander, 40<..<80, 3****, Husband, Male, <=50K
396542770,  Self-emp-inc, 7th-8th, Married-civ-spouse, United-States, White, 40<..<80, 1****, Husband, Male, <=50K
-987578313,  Private, Bachelors, Never-married, United-States, Black, 0<..<40, 9****, Not-in-family, Male, <=50K
1149459364,  Private, Assoc-acdm, Divorced, United-States, White, 40<..<80, 4****, Not-in-family, Female, >50K
323735308,  Private, Bachelors, Married-civ-spouse, Poland, White, 0<..<40, 7****, Husband, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 1****, Husband, Male, <=50K
912450449,  Private, 10th, Never-married, United-States, White, 0<..<40, 3****, Not-in-family, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 0<..<40, 7****, Husband, Male, >50K
1835191412,  Private, HS-grad, Never-married, United-States, Black, 80<..<120, 8****, Not-in-family, Male, <=50K
294374391,  Private, HS-grad, Married-civ-spouse, United-States, Black, 40<..<80, 5****, Husband, Male, >50K
-909866413,  Local-gov, Preschool, Never-married, United-States, White, 40<..<80, 8****, Not-in-family, Female, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, ****, Own-child, Female, <=50K
-1050337580,  Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, >50K
-1963834456,  Private, Assoc-voc, Widowed, Columbia, White, 40<..<80, 8****, Not-in-family, Female, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 40<..<80, 7****, Not-in-family, Female, <=50K
799495992,  Private, 11th, Separated, United-States, Black, 0<..<40, 5****, Not-in-family, Male, >50K
-1894616390,  Private, HS-grad, Divorced, United-States, Black, 40<..<80, ****, Unmarried, Female, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 8****, Not-in-family, Male, <=50K
-737312826,  Private, Some-college, Divorced, United-States, Other, 0<..<40, ****, Other-relative, Female, <=50K
2002524223,  Private, Prof-school, Never-married, United-States, White, 0<..<40, 7****, Not-in-family, Male, <=50K
1026713003,  State-gov, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
-403795108,  State-gov, Some-college, Never-married, United-States, White, 40<..<80, 9****, Not-in-family, Female, <=50K
-1968381590,  Private, Bachelors, Married-civ-spouse, Iran, White, 40<..<80, 3****, Husband, Male, <=50K
769878733,  Local-gov, Masters, Married-civ-spouse, United-States, White, 0<..<40, 6****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 9****, Own-child, Male, <=50K
-1462583109,  Private, Bachelors, Married-civ-spouse, United-States, White, 40<..<80, 8****, Husband, Male, <=50K
-1050337580,  Self-emp-not-inc, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 1****, Wife, Female, <=50K
789664137,  State-gov, Assoc-acdm, Married-civ-spouse, United-States, White, 0<..<40, 6****, Husband, Male, <=50K
894048737,  Private, Some-college, Divorced, United-States, White, 0<..<40, 5****, Not-in-family, Male, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 7****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, ****, Not-in-family, Female, <=50K
-1385114013,  Private, Assoc-acdm, Married-civ-spouse, United-States, White, 40<..<80, 5****, Husband, Male, <=50K
761343843,  Private, Prof-school, Married-civ-spouse, United-States, White, 40<..<80, 5****, Wife, Female, <=50K
-115055906,  Private, Bachelors, Married-civ-spouse, United-States, Black, 40<..<80, 7****, Wife, Female, <=50K
-1755040381,  Local-gov, 10th, Widowed, United-States, Black, 40<..<80, 7****, Unmarried, Female, <=50K
-1832883643,  Local-gov, Some-college, Never-married, United-States, White, 0<..<40, 7****, Own-child, Male, >50K
1364691757,  Private, Some-college, Never-married, United-States, White, 40<..<80, 9****, Not-in-family, Male, <=50K
-2015070961,  Self-emp-not-inc, HS-grad, Married-civ-spouse, Cambodia, Asian-Pac-Islander, 40<..<80, 8****, Husband, Male, <=50K
-1498878680,  Private, HS-grad, Never-married, United-States, White, 0<..<40, 1****, Own-child, Female, >50K
-1222531251,  Private, HS-grad, Separated, United-States, White, 0<..<40, 4****, Not-in-family, Female, >50K
258060512,  Private, Assoc-voc, Widowed, United-States, White, 40<..<80, 6****, Not-in-family, Female, <=50K
192678534,  Private, 7th-8th, Divorced, United-States, White, 40<..<80, 4****, Not-in-family, Male, >50K
-845492304,  Private, Bachelors, Divorced, United-States, White, 0<..<40, 7****, Own-child, Female, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 6****, Husband, Male, <=50K
1198548684,  Private, 11th, Never-married, United-States, White, 0<..<40, 9****, Own-child, Male, <=50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 2****, Husband, Male, <=50K
737985,  Private, 11th, Married-civ-spouse, United-States, White, 0<..<40, ****, Husband, Male, <=50K
-1229424100,  Self-emp-inc, Some-college, Married-civ-spouse, Thailand, Asian-Pac-Islander, 0<..<40, 2****, Husband, Male, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, ****, Husband, Male, <=50K
-729098881,  Private, Bachelors, Never-married, United-States, White, 0<..<40, 9****, Not-in-family, Female, >50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 0<..<40, 2****, Wife, Female, <=50K
1472134675,  Private, HS-grad, Married-civ-spouse, United-States, White, 40<..<80, 9****, Husband, Male, >50K
-627164221,  Private, 9th, Never-married, United-States, White, 0<..<40, 3****, Own-child, Male, <=50K
-200729826,  Self-emp-not-inc, Masters, Married-civ-spouse, United-States, White, 40<..<80, 3****, Husband, Male, <=50K
3191296,  Local-gov, Masters, Never-married, United-States, White, 0<..<40, 8****, Own-child, Male, <=50K
-1494511370,  Private, HS-grad, Divorced, United-States, White, 0<..<40, 1****, Own-child, Female, <=50K
294374391,  Private, HS-grad, Married-civ-spouse, United-States, Black, 40<..<80, 8****, Husband, Male, >50K
-393342064,  Private, Some-college, Married-civ-spouse, United-States, White, 40<..<80, 7****, Husband, Male, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 5****, Not-in-family, Female, <=50K
1364691757,  Private, Some-college, Never-married, United-States, White, 0<..<40, 1****, Own-child, Female, <=50K
